RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
244,UC Davis,BW,32,15,97.4,103.4,0.3352,46.3,50.0,19.7,21.8,27.6,33.6,38.3,39.2,45.1,48.3,32.2,35.2,35.5,37.7,67.1,-11.20,N/A
245,Incarnate Word,Slnd,33,17,105.2,111.8,0.3314,51.1,52.0,18.1,17.5,34.5,31.4,27.5,34.7,49.7,50.8,35.8,36.4,36.3,31.2,64.1,-11.90,N/A
246,Georgia St.,SB,33,14,107.2,113.9,0.3304,50.4,51.0,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,33.3,41.5,69.1,-13.30,N/A
247,Northern Arizona,BSky,33,18,103.7,110.2,0.3302,50.3,53.3,15.4,14.8,31.5,23.8,29.6,34.3,49.4,52.8,34.5,36.0,38.2,37.0,66.6,-11.50,N/A
248,Sacred Heart,MAAC,33,15,105.0,111.8,0.3274,51.0,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,44.6,43.1,70.3,-14.70,N/A
249,Georgia Southern,SB,33,17,102.9,109.6,0.3274,50.6,50.1,19.0,18.4,33.0,33.0,26.5,43.1,49.8,51.2,34.5,32.3,44.3,40.1,69.5,-11.40,N/A
250,Northern Kentucky,Horz,33,17,102.6,109.4,0.3217,49.8,52.5,17.3,19.9,31.0,32.5,31.3,29.3,50.0,50.6,33.0,37.0,40.0,40.1,65.9,-11.30,N/A
251,Portland,WCC,32,12,106.3,113.5,0.3211,50.1,54.6,18.0,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,43.6,40.9,68.2,-12.70,N/A
252,Idaho,BSky,33,14,107.9,115.2,0.3207,51.8,54.0,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,47.9,39.9,66.3,-14.00,N/A
253,Toledo,MAC,33,18,110.8,118.5,0.3156,50.5,56.4,13.7,15.5,29.8,30.9,35.5,26.5,50.6,55.9,33.6,38.2,28.6,37.5,68.3,-9.10,N/A
254,Little Rock,OVC,33,19,98.0,104.9,0.3146,49.5,46.7,20.4,21.5,30.4,35.4,29.0,37.9,47.2,46.3,36.6,31.4,30.3,44.2,66.7,-10.10,N/A
255,Cal St. Bakersfield,BW,33,14,105.3,112.8,0.3129,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,28.4,41.5,66.0,-13.80,N/A
256,Presbyterian,BSth,32,14,103.1,110.5,0.3113,51.2,52.5,16.3,17.7,29.6,31.3,31.2,39.2,49.7,52.9,36.0,34.4,34.2,34.7,64.3,-13.90,N/A
257,Jackson St.,SWAC,34,16,100.3,107.6,0.3081,47.7,50.6,19.5,17.4,30.1,30.0,37.5,30.6,47.1,50.3,32.6,34.1,33.7,41.7,68.4,-10.60,N/A
258,Fresno St.,MWC,32,6,100.8,108.2,0.3057,46.1,54.0,17.7,18.0,27.0,34.0,36.4,23.5,45.6,56.0,31.3,34.2,35.3,43.0,70.7,-16.40,N/A
259,Manhattan,MAAC,30,17,107.2,115.1,0.3048,50.7,50.5,17.0,15.2,32.6,31.9,31.0,25.9,50.3,51.8,34.2,32.5,41.9,42.3,67.4,-10.10,N/A
260,Monmouth,CAA,33,13,103.8,111.7,0.3012,47.2,50.7,16.2,16.6,29.7,34.8,36.7,36.1,44.2,50.7,35.2,33.8,34.6,40.7,67.1,-14.50,N/A
261,Evansville,MVC,32,11,98.1,105.6,0.2992,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,40.6,44.9,66.9,-15.10,N/A
262,Charlotte,Amer,33,11,104.2,112.2,0.2985,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37.0,49.6,56.4,31.0,33.3,40.9,34.5,64.7,-16.40,N/A
263,Mount St. Mary's,MAAC,34,22,99.4,107.5,0.2903,51.0,48.0,21.7,15.9,31.1,28.3,31.0,26.7,50.1,48.7,34.9,31.4,41.0,44.5,67.3,-8.20,16
264,UMass Lowell,AE,32,17,107.0,115.7,0.2901,54.6,51.6,18.1,14.7,26.1,30.3,31.6,25.2,56.3,50.5,34.2,35.6,34.6,34.7,68.6,-11.60,N/A
265,North Florida,ASun,32,15,108.0,116.8,0.2882,53.2,54.1,15.0,14.7,27.9,34.2,24.8,31.1,54.0,54.5,35.0,35.5,54.0,31.1,72.2,-11.40,N/A
266,FIU,CUSA,33,10,96.1,103.9,0.2879,46.1,51.6,19.5,20.6,31.0,29.6,36.0,37.5,47.4,52.6,28.8,33.3,30.1,39.5,68.4,-17.40,N/A
267,Houston Christian,Slnd,32,12,100.4,108.6,0.2875,49.1,52.6,18.0,17.9,26.0,32.0,30.5,29.4,49.3,54.5,32.5,32.3,44.0,31.8,64.5,-14.70,N/A
268,Gardner Webb,BSth,31,11,102.3,110.7,0.2867,51.9,52.0,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33.0,32.3,33.1,38.0,69.0,-15.00,N/A
269,Denver,Sum,32,11,99.9,108.4,0.2825,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,36.9,37.9,66.4,-15.90,N/A
270,Siena,MAAC,32,14,102.0,110.6,0.2823,49.4,51.7,17.2,18.2,28.8,30.0,37.3,31.4,49.5,51.8,32.8,34.3,39.9,34.2,67.0,-14.60,N/A
271,Eastern Michigan,MAC,32,16,104.3,113.2,0.2791,52.4,53.7,18.7,17.8,29.6,31.7,33.0,38.5,52.4,51.9,35.0,37.7,38.2,38.8,67.1,-12.20,N/A
272,Colgate,Pat,33,14,104.0,113.1,0.2770,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,42.2,40.0,67.0,-14.90,N/A
273,Ball St.,MAC,31,14,103.4,112.5,0.2762,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51.0,54.5,34.6,31.5,37.1,39.7,66.3,-13.80,N/A
274,Alabama St.,SWAC,34,19,100.5,109.6,0.2698,47.1,50.3,13.2,18.6,28.3,31.1,29.9,38.7,45.4,50.4,32.9,33.4,42.9,39.5,67.6,-10.20,16
275,Bowling Green,MAC,32,14,99.4,108.6,0.2656,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,39.7,42.4,68.7,-14.30,N/A
276,Albany,AE,33,17,103.0,112.5,0.2656,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,36.0,34.9,67.5,-12.90,N/A
277,Mercer,SC,33,14,98.2,107.4,0.2643,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,40.1,46.0,70.9,-14.50,N/A
278,Eastern Washington,BSky,32,10,101.8,111.3,0.2635,50.9,54.4,18.7,19.0,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,37.6,38.4,67.0,-16.40,N/A
279,Pacific,WCC,33,9,100.7,110.2,0.2616,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,37.8,39.5,66.5,-15.70,N/A
280,LIU,NEC,33,17,94.8,103.9,0.2581,47.7,48.0,20.1,19.2,32.3,27.0,27.6,43.5,48.8,48.8,30.3,31.2,33.4,39.8,64.8,-12.70,N/A
281,Western Michigan,MAC,32,12,101.8,111.7,0.2555,47.0,54.5,15.8,16.6,34.4,27.9,31.0,33.2,49.3,55.0,28.2,35.8,32.9,41.0,67.7,-14.90,N/A
282,Texas Southern,SWAC,32,15,95.4,104.9,0.2530,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,35.8,41.3,69.9,-11.90,N/A
283,Austin Peay,ASun,33,14,102.0,112.2,0.2505,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36.0,47.1,52.0,34.0,37.9,40.2,35.9,65.9,-13.40,N/A
284,Marist,MAAC,30,20,96.5,106.2,0.2491,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,37.6,35.4,64.0,-8.10,N/A
285,Tarleton St.,WAC,32,12,93.2,102.7,0.2483,45.9,52.1,25.1,23.3,28.1,33.9,41.5,48.3,45.0,52.9,32.2,33.9,25.6,42.2,65.5,-13.30,N/A
286,Stephen F. Austin,Slnd,31,14,95.4,105.1,0.2462,46.7,49.2,22.2,20.2,34.6,33.1,32.3,34.1,48.8,47.8,28.7,34.4,36.9,37.1,67.3,-12.40,N/A
287,Navy,Pat,34,15,101.0,111.5,0.2431,48.0,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,37.1,41.2,66.9,-16.20,N/A
288,Tennessee Martin,OVC,33,14,102.0,112.6,0.2428,47.6,52.3,19.5,18.9,34.7,30.8,34.4,33.9,48.5,52.0,31.1,35.0,47.3,48.2,66.2,-15.50,N/A
289,Air Force,MWC,32,4,98.7,109.3,0.2375,50.1,54.6,20.8,15.7,22.7,29.0,35.4,35.4,50.5,54.8,33.1,36.3,48.5,36.2,64.4,-19.20,N/A
290,Tennessee Tech,OVC,32,15,101.1,111.9,0.2370,50.7,49.6,17.4,15.2,25.0,32.4,28.8,22.2,49.0,50.6,35.1,31.9,46.4,34.1,67.8,-13.20,N/A
291,Weber St.,BSky,34,12,100.9,111.8,0.2350,50.2,53.4,16.9,16.5,24.4,30.1,34.7,37.2,51.1,52.2,32.4,36.7,37.2,43.0,65.4,-17.10,N/A
292,San Diego,WCC,33,6,100.1,111.0,0.2333,45.7,54.0,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,35.8,38.3,70.9,-19.50,N/A
293,Old Dominion,SB,35,15,99.4,110.6,0.2266,44.1,51.2,16.9,16.0,36.4,32.0,30.9,35.0,45.0,51.2,28.3,34.1,35.8,35.3,66.0,-15.40,N/A
294,Lafayette,Pat,33,13,97.6,108.7,0.2263,50.2,50.4,16.6,16.7,24.0,28.0,30.5,26.9,49.7,48.3,34.0,35.8,40.3,37.9,66.1,-16.80,N/A
295,Saint Peter's,MAAC,28,12,94.8,105.5,0.2260,44.7,47.3,20.7,17.6,37.0,31.0,34.7,37.6,42.4,47.0,32.2,31.9,38.5,38.0,63.7,-13.40,N/A
296,Bethune Cookman,SWAC,33,17,97.3,108.5,0.2230,48.2,48.8,19.5,16.7,28.8,30.0,35.9,32.4,48.4,49.8,31.9,31.3,33.9,36.9,68.9,-10.20,N/A
297,Oral Roberts,Sum,30,7,103.8,115.7,0.2220,50.0,55.0,16.3,13.9,22.6,33.1,35.0,38.2,48.5,56.6,34.4,35.0,45.7,40.2,67.2,-17.30,N/A
298,Utah Tech,WAC,33,7,101.7,113.7,0.2185,48.8,53.0,18.3,17.4,26.2,33.5,33.7,41.1,47.9,53.7,33.4,34.4,39.8,31.5,67.3,-19.80,N/A
299,Columbia,Ivy,27,12,104.2,116.5,0.2172,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,39.1,41.8,70.8,-11.40,N/A
300,Lehigh,Pat,30,11,99.5,111.3,0.2161,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53.0,36.4,31.2,37.3,36.7,67.1,-15.30,N/A
301,Saint Francis,NEC,33,16,99.9,112.0,0.2114,51.6,51.3,19.6,16.4,25.4,30.0,23.8,28.7,52.6,53.4,33.4,32.3,41.9,43.2,67.2,-12.20,16
302,Howard,MEAC,32,12,103.1,115.7,0.2100,53.5,52.3,21.2,16.5,29.0,33.8,35.7,40.9,52.6,53.1,36.6,33.8,38.4,33.5,69.6,-15.60,N/A
303,Penn,Ivy,27,8,103.1,115.7,0.2090,49.4,53.0,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,44.4,39.2,66.8,-13.90,N/A
304,Fairleigh Dickinson,NEC,33,13,97.7,109.7,0.2073,49.1,50.5,17.1,17.6,25.9,32.0,32.1,30.4,49.7,53.3,32.2,30.3,41.5,35.6,69.2,-15.80,N/A
305,Louisiana,SB,33,12,97.4,109.7,0.2042,45.7,51.3,16.0,19.1,25.9,35.5,29.8,43.8,45.0,53.8,31.3,31.5,38.1,36.9,66.2,-15.90,N/A
306,Southern Miss,SB,33,11,96.4,108.6,0.2021,47.9,50.2,19.5,16.1,28.1,30.2,33.8,35.4,49.8,51.2,29.8,32.5,36.9,38.4,70.7,-17.20,N/A
307,Rider,MAAC,33,14,101.8,114.8,0.2013,47.7,53.1,17.2,16.0,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,30.1,40.9,64.8,-14.70,N/A
308,Charleston Southern,BSth,32,10,99.0,111.6,0.2007,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,42.0,29.2,67.5,-16.10,N/A
309,Long Beach St.,BW,32,7,100.7,113.6,0.2000,49.2,53.4,21.7,17.1,28.5,34.9,35.5,35.2,47.0,51.2,35.3,38.1,37.1,37.6,64.0,-18.90,N/A
310,Loyola MD,Pat,31,12,99.7,112.7,0.1972,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,39.6,35.7,66.5,-16.10,N/A
311,VMI,SC,34,15,98.4,111.3,0.1947,48.5,54.2,18.0,17.6,25.2,32.1,37.5,30.5,50.3,56.3,31.0,34.5,46.9,47.5,68.0,-14.80,N/A
312,Army,Pat,31,16,100.1,113.4,0.1935,49.7,53.7,14.7,16.0,25.8,29.3,25.8,27.1,52.1,55.2,30.8,34.5,41.1,42.2,67.5,-12.00,N/A
313,Delaware St.,MEAC,30,16,100.9,114.3,0.1923,48.8,53.8,18.1,20.0,34.0,32.1,36.3,40.3,47.6,56.3,35.5,33.5,20.7,41.1,70.1,-11.00,N/A
314,IU Indy,Horz,32,10,109.0,123.5,0.1921,50.4,57.0,15.7,16.0,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,47.3,40.8,64.8,-17.70,N/A
315,Eastern Illinois,OVC,31,12,93.3,105.8,0.1912,44.1,51.0,18.7,20.8,30.0,30.9,33.0,39.7,42.6,50.2,31.7,34.7,29.7,44.4,66.1,-14.50,N/A
316,Binghamton,AE,32,15,98.8,112.1,0.1891,51.6,49.7,19.6,12.8,26.9,26.9,33.7,31.9,50.6,51.1,35.4,31.8,36.2,40.3,65.5,-14.20,N/A
317,Boston University,Pat,32,16,98.1,111.4,0.1890,50.2,52.4,20.6,16.7,32.5,23.4,30.7,32.0,50.7,51.2,33.0,36.1,41.9,40.2,63.2,-13.20,N/A
318,UMBC,AE,32,13,104.8,119.0,0.1873,55.2,54.1,15.9,17.4,19.4,33.7,31.6,27.9,53.8,54.2,38.4,35.8,38.4,34.4,70.4,-15.70,N/A
319,Lindenwood,OVC,33,16,94.5,107.6,0.1826,45.0,50.7,17.9,19.4,30.0,31.5,36.0,34.7,47.6,50.0,26.7,34.6,34.6,37.5,69.4,-12.90,N/A
320,North Carolina Central,MEAC,33,14,102.4,116.7,0.1823,50.1,54.8,19.2,21.0,34.6,38.8,39.8,42.0,49.9,57.6,33.7,32.7,34.0,32.8,66.9,-15.40,N/A
321,Morehead St.,OVC,32,15,98.0,111.7,0.1818,45.9,50.3,18.4,14.4,31.2,25.4,37.6,34.7,45.5,49.9,31.2,34.1,34.1,33.4,64.0,-13.20,N/A
322,Alcorn St.,SWAC,32,11,97.3,110.9,0.1816,46.1,53.0,19.6,18.3,33.6,32.5,30.4,31.5,45.4,54.6,31.8,34.1,29.6,45.3,64.7,-15.00,N/A
323,Grambling St.,SWAC,34,12,95.3,108.6,0.1816,47.3,49.3,19.2,18.3,26.3,31.1,35.1,31.3,46.9,47.0,32.0,35.7,35.0,35.6,63.8,-16.90,N/A
324,Coastal Carolina,SB,32,10,100.8,115.0,0.1789,49.4,48.6,18.4,10.5,29.0,28.7,34.4,36.9,47.7,48.5,34.8,32.5,39.2,36.3,63.1,-18.30,N/A
325,Southern Utah,WAC,31,12,95.8,109.4,0.1787,46.8,49.9,21.6,15.1,30.1,32.0,36.2,33.0,47.2,49.8,30.5,33.3,32.6,27.7,68.9,-13.60,N/A
326,Florida A&M,SWAC,31,14,101.9,116.4,0.1780,50.6,51.4,20.7,15.4,27.7,31.9,36.7,39.9,50.8,51.5,33.6,34.2,46.6,36.5,67.1,-10.80,N/A
327,Niagara,MAAC,31,11,100.6,115.3,0.1724,52.0,53.0,18.6,16.8,23.6,27.3,30.4,29.8,51.8,51.8,34.9,36.7,42.8,38.4,64.8,-16.80,N/A
328,Stonehill,NEC,32,15,99.9,115.0,0.1660,51.1,50.9,18.3,16.2,26.4,29.4,31.4,32.7,49.4,50.1,35.4,34.9,44.5,33.3,65.1,-13.80,N/A
329,Holy Cross,Pat,32,13,100.7,115.8,0.1657,53.1,53.5,17.9,13.6,23.3,27.0,22.2,25.4,49.6,54.5,38.6,34.5,42.3,37.8,65.8,-15.60,N/A
330,Green Bay,Horz,32,4,100.4,115.8,0.1624,50.9,54.8,18.0,14.6,18.4,32.0,37.0,35.4,52.2,54.1,32.9,37.3,46.2,39.4,69.1,-22.90,N/A
331,Stony Brook,CAA,32,8,101.6,117.3,0.1607,47.7,56.0,18.3,14.9,29.5,31.2,31.6,28.4,45.7,57.2,33.8,36.3,39.0,42.3,64.4,-19.60,N/A
332,Texas A&M Commerce,Slnd,31,5,96.2,111.2,0.1583,49.2,53.8,22.5,19.9,28.1,35.9,28.0,36.5,51.1,52.6,31.4,37.4,48.3,34.6,67.4,-20.20,N/A
333,Mercyhurst,NEC,31,15,100.0,115.8,0.1558,48.6,55.0,16.4,20.3,22.2,33.3,30.9,38.3,45.8,56.0,35.7,35.7,36.4,39.8,64.5,-12.60,N/A
334,USC Upstate,BSth,32,6,99.1,114.9,0.1541,49.8,56.1,19.0,16.6,25.3,32.4,30.4,39.5,53.1,58.3,29.4,35.2,36.9,40.2,72.7,-21.10,N/A
335,Fairfield,MAAC,32,12,97.3,113.3,0.1481,46.3,53.7,15.5,18.2,28.6,31.0,25.4,31.0,45.8,53.4,31.5,36.0,38.3,36.9,65.8,-17.00,N/A
336,Southern Indiana,OVC,30,10,98.6,114.8,0.1481,47.9,51.8,17.2,16.7,27.9,31.3,30.7,35.6,45.4,50.0,35.2,36.7,33.5,36.5,66.9,-17.50,N/A
337,Morgan St.,MEAC,32,14,100.4,117.0,0.1479,49.0,52.4,17.9,17.0,34.1,36.9,35.7,39.1,49.5,51.0,31.6,36.8,21.7,34.3,70.3,-14.50,N/A
338,Bellarmine,ASun,31,5,103.5,120.5,0.1472,53.7,58.1,17.4,15.4,20.2,30.0,26.5,34.9,53.9,57.8,35.6,39.0,43.2,47.4,66.2,-21.20,N/A
339,North Carolina A&T,CAA,32,7,96.4,112.6,0.1442,45.8,51.5,15.4,15.3,27.0,31.4,31.2,30.0,46.3,52.4,30.0,33.3,36.0,38.5,69.3,-20.20,N/A
340,Wagner,NEC,30,14,93.1,109.1,0.1390,43.7,50.4,19.4,18.2,31.7,25.0,29.3,39.9,41.5,50.8,31.6,33.2,37.6,42.9,60.1,-13.10,N/A
341,Western Carolina,SC,30,8,95.4,112.4,0.1324,45.4,51.1,19.0,13.5,25.7,29.4,27.0,34.0,46.3,52.8,29.7,32.6,48.2,44.0,70.4,-16.70,N/A
342,Western Illinois,OVC,31,12,99.1,116.8,0.1320,50.1,51.1,18.2,14.4,28.1,31.8,27.2,30.6,46.7,50.2,37.3,35.1,37.2,34.8,64.4,-16.40,N/A
343,West Georgia,ASun,31,6,97.1,114.5,0.1309,47.2,56.1,16.3,16.6,26.1,29.2,28.8,36.3,48.4,56.9,29.7,36.8,30.1,43.7,68.0,-20.20,N/A
344,Louisiana Monroe,SB,32,7,96.5,114.5,0.1228,45.0,53.6,17.1,16.1,29.0,32.5,31.1,25.1,43.1,55.8,32.5,34.0,33.9,45.1,67.7,-21.00,N/A
345,Buffalo,MAC,31,9,95.4,113.2,0.1227,48.8,54.2,19.5,16.2,24.8,31.3,32.7,31.2,51.3,53.4,30.5,37.2,43.9,35.2,70.6,-17.30,N/A
346,Detroit Mercy,Horz,32,8,94.6,112.3,0.1216,45.6,51.2,19.1,15.5,31.9,30.5,28.9,39.8,43.9,52.4,33.3,33.2,28.4,47.0,67.0,-19.20,N/A
347,Le Moyne,NEC,32,9,102.7,122.2,0.1189,51.5,54.7,19.6,16.3,25.7,32.9,37.7,36.9,53.2,54.1,32.8,37.0,41.3,41.4,68.6,-19.20,N/A
348,Sacramento St.,BSky,32,7,95.4,113.6,0.1187,48.0,55.1,20.3,17.1,27.4,27.6,31.3,39.2,49.1,55.2,31.2,36.6,44.9,46.0,65.3,-20.80,N/A
349,Northern Illinois,MAC,31,6,94.0,112.1,0.1168,47.1,53.2,16.3,16.6,17.8,30.8,31.6,44.0,45.3,51.0,32.7,38.0,49.2,37.5,68.9,-21.10,N/A
350,New Orleans,Slnd,31,4,98.8,117.9,0.1161,45.9,54.9,18.8,16.1,31.6,35.5,33.9,26.6,46.0,55.1,30.4,36.4,30.7,42.4,69.2,-20.00,N/A
351,Central Arkansas,ASun,33,9,97.4,116.6,0.1122,47.4,56.8,18.2,16.7,28.6,30.0,28.8,22.6,50.2,55.4,29.6,38.7,47.8,52.1,66.3,-18.20,N/A
352,Stetson,ASun,32,8,99.2,119.0,0.1092,50.2,53.1,18.7,13.1,24.1,34.3,33.1,27.7,50.2,52.6,33.5,35.9,37.7,41.4,67.6,-19.30,N/A
353,NJIT,AE,31,6,94.0,113.5,0.1024,45.3,50.0,18.0,13.8,27.7,31.8,27.4,38.6,45.0,51.9,30.5,31.0,37.8,35.2,66.3,-21.60,N/A
354,Cal St. Fullerton,BW,32,6,92.1,111.7,0.0973,44.2,54.3,21.3,16.1,25.9,29.8,39.2,34.1,46.1,55.9,27.0,34.9,34.1,45.8,68.0,-19.30,N/A
355,Canisius,MAAC,31,3,99.1,121.1,0.0912,51.2,56.9,18.5,16.4,18.3,34.3,23.3,31.4,48.4,58.7,36.7,36.2,41.4,40.9,66.1,-23.40,N/A
356,New Hampshire,AE,32,8,93.8,115.1,0.0873,47.1,54.4,19.0,16.9,27.4,31.6,26.4,33.0,46.8,56.4,31.7,34.1,40.8,39.7,67.6,-20.50,N/A
357,Prairie View A&M,SWAC,32,5,95.9,117.7,0.0867,48.2,56.2,16.7,20.0,24.5,39.1,33.8,40.5,48.6,57.6,31.5,35.7,33.7,32.7,70.3,-21.30,N/A
358,Alabama A&M,SWAC,32,10,92.8,114.9,0.0793,45.1,54.3,21.9,21.0,33.9,34.6,38.6,46.7,44.3,51.8,30.8,39.0,41.6,37.5,70.7,-18.80,N/A
359,Maryland Eastern Shore,MEAC,31,6,94.8,118.8,0.0699,45.7,55.3,19.7,15.5,27.1,34.1,35.6,40.6,44.7,58.6,31.5,33.3,37.2,37.7,66.0,-19.50,N/A
360,The Citadel,SC,30,5,93.6,117.5,0.0687,46.9,54.5,19.5,15.2,27.2,32.0,32.8,32.8,49.5,56.3,29.2,34.7,45.2,42.7,64.5,-21.50,N/A
361,Chicago St.,NEC,32,4,92.5,116.1,0.0682,44.4,54.9,18.5,18.2,22.6,33.6,26.8,36.9,43.4,55.7,30.6,35.8,40.9,39.4,68.5,-21.80,N/A
362,Coppin St.,MEAC,30,6,87.8,112.4,0.0550,44.0,55.6,21.6,20.5,26.5,33.9,36.4,37.1,44.2,56.3,29.0,36.3,32.1,38.8,67.9,-19.00,N/A
363,Arkansas Pine Bluff,SWAC,31,6,95.0,121.7,0.0549,50.3,56.3,20.4,16.8,26.3,34.6,32.8,40.5,52.6,58.5,31.0,35.7,37.9,44.9,71.6,-20.10,N/A
364,Mississippi Valley St.,SWAC,31,3,82.9,125.2,0.0086,42.1,57.9,24.3,15.0,22.7,38.0,30.3,38.4,41.6,58.8,28.8,37.7,30.6,38.4,64.8,-21.00,N/A